Time_s,Amplitude
0,-0.244602792271227
0.01,0.7763431529021
0.02,1.15395495044367
0.03,1.25594809077649
0.04,0.746114037296534
0.05,0.598724387083096
0.06,0.234751665743244
0.07,0.336173562489881
0.08,0.19647324692852
0.09,0.748312683004269
0.1,0.619208809489221
0.11,0.135947605743434
0.12,-0.538541922745132
0.13,-1.03416608293456
0.14,-1.37293501435218
0.15,-1.44827102909294
0.16,-1.48002014919362
0.17,-0.697089352110659
0.18,-0.372326472167935
0.19,0.447398332281441
0.2,0.406512404144042
0.21,-0.013411105481497
0.22,0.572600845451852
0.23,0.3260822148547
0.24,0.330088793440161
0.25,0.967440018916289
0.26,1.40572298507869
0.27,0.928234167931904
0.28,0.568993124573918
0.29,0.00878254595728
0.3,-0.377594191021714
0.31,-1.09185495968047
0.32,-0.911642832971975
0.33,-1.26700772138295
0.34,-0.902742715154075
0.35,-0.59182909894125
0.36,-0.547525953404767
0.37,-0.798362834559613
0.38,-0.687924381861216
0.39,-0.883841003121788
0.4,-0.537873537862782
0.41,-0.12644584508713
0.42,0.415319182742756
0.43,1.39944455276432
0.44,1.34755964449355
0.45,1.14494340874381
0.46,0.559893350704069
0.47,0.578109790808638
0.48,-0.183447485000649
0.49,0.096178582928295
0.5,0.05792539791976
0.51,-0.016785269173743
0.52,-0.0230357727102
0.53,-0.675089553759544
0.54,-0.593978177923317
0.55,-1.26876596138887
0.56,-1.58411599516644
0.57,-0.979851531530732
0.58,-0.339312901571253
0.59,-0.051694275048342
0.6,0.333709456380453
0.61,0.495674916582161
0.62,0.283277143392661
0.63,0.872746184917572
0.64,0.787634781450758
0.65,0.724994626693311
0.66,0.83115183162449
0.67,1.01808332291795
0.68,0.81843253129744
0.69,0.906070202608429
0.7,0.435712181899708
0.71,-0.541607778581286
0.72,-0.746666767094219
0.73,-1.51754105693633
0.74,-1.47315851984488
0.75,-1.08001714326024
0.76,-0.674236915156091
0.77,-0.209469263464469
0.78,-0.003797304720289
0.79,-0.067132998440264
0.8,-0.837435626546722
0.81,-0.082882250634864
0.82,0.126777133545403
0.83,0.460970025995923
0.84,0.954971124396495
0.85,1.20635058990752
0.86,1.18366041089612
0.87,1.13007703484547
0.88,0.549632519417939
0.89,-0.028614123093872
0.9,-0.766456276095766
0.91,-0.523555879406661
0.92,-0.327178800198448
0.93,-0.338486604931066
0.94,-0.424829638973221
0.95,-0.936272852411155
0.96,-0.948819178209144
0.97,-0.937170768743932
0.98,-1.25166714017333
0.99,-1.04899191787838
1,0.12540454481453
1.01,0.787725253821548
1.02,1.214805325965
1.03,1.06780295229962
1.04,0.776809655539926
1.05,0.772769059697731
1.06,0.479227691578281
1.07,0.5233348243498
1.08,0.533802996027831
1.09,0.746486987660446
1.1,0.145516093924948
1.11,-0.032896806702501
1.12,-0.483437808530711
1.13,-1.31000477461514
1.14,-1.53750595402287
1.15,-1.58777896410516
